communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
高行绿洲(六期),浦东,2室1厅1厨1卫,高楼层 (共14层),74.05㎡,板楼,南,精装,一梯两户,2019-12-22,2010-12-07,满五年,310万元,高东
乾骏园,徐汇,2室1厅1厨1卫,高楼层 (共6层),66.11㎡,板楼,南 北,精装,一梯两户,2019-12-21,2007-05-16,满五年,515万元,龙华
靖海苑(公寓),浦东,2室2厅1厨1卫,中楼层 (共5层),93.74㎡,板楼,南,精装,一梯两户,2019-08-19,暂无数据,暂无数据,235万元,惠南
南宜花苑,徐汇,2室1厅0厨1卫,中楼层 (共6层),66.02㎡,板楼,南,简装,一梯三户,2019-10-16,暂无数据,暂无数据,570万元,徐家汇
银联花园,虹口,2室1厅1厨1卫,中楼层 (共6层),55.54㎡,板楼,南,简装,一梯三户,2019-10-09,2019-10-31,未满两年,460万元,曲阳
古美七村,闵行,2室1厅1厨1卫,低楼层 (共18层),76.76㎡,塔楼,南,简装,两梯八户,2019-10-18,2001-05-21,满五年,375万元,古美
东苑怡景园,闵行,1室1厅1厨1卫,中楼层 (共18层),60.28㎡,塔楼,南,精装,两梯六户,2019-12-29,暂无数据,暂无数据,390万元,古美
曹杨四村(桐柏园),普陀,1室1厅1厨1卫,高楼层 (共6层),39.62㎡,板楼,南 北,精装,一梯五户,2019-12-30,2016-02-16,满两年,218万元,曹杨
中虹家园,浦东,2室1厅1厨1卫,中楼层 (共18层),70.87㎡,板楼,南,精装,两梯四户,2019-12-05,2016-04-12,满两年,270万元,曹路
长虹坊,徐汇,2室1厅1厨1卫,高楼层 (共6层),68.03㎡,板楼,南,精装,一梯四户,2019-06-24,2000-08-18,满五年,415万元,康健
天山二村,长宁,1室1厅1厨1卫,中楼层 (共5层),37.62㎡,板楼,南 东南,精装,一梯四户,2019-11-26,2000-05-27,满五年,285万元,中山公园
绿地康桥新苑,浦东,2室2厅0厨1卫,中楼层 (共13层),76.85㎡,板楼,南,简装,一梯两户,2019-06-25,2016-04-15,满两年,355万元,康桥
上海康城,闵行,3室1厅1厨2卫,中楼层 (共11层),115.12㎡,板楼,南,精装,一梯四户,2019-11-27,2006-01-06,满五年,398万元,莘庄
新梅花苑,闵行,1室1厅0厨1卫,高楼层 (共6层),42.71㎡,板楼,南 北,简装,一梯四户,2019-10-14,1998-11-15,满五年,199万元,古美
金杨七街坊,浦东,1室1厅1厨1卫,中楼层 (共6层),51.57㎡,板楼,南,精装,一梯五户,2019-10-27,2012-04-07,满五年,263万元,金杨
海伦新苑,虹口,3室2厅0厨2卫,高楼层 (共15层),137.76㎡,板楼,南,简装,一梯两户,2020-01-03,2004-02-24,未满两年,1050万元,四川北路
恒大帝景,松江,3室2厅1厨1卫,低楼层 (共15层),107㎡,板楼,南,精装,两梯四户,2020-01-02,2015-09-30,未满两年,350万元,松江新城
市光三村,杨浦,1室1厅0厨1卫,中楼层 (共6层),39.69㎡,板楼,南,毛坯,一梯四户,2020-01-02,暂无数据,暂无数据,185万元,中原
川杨新苑(三期),浦东,3室2厅1厨2卫,高楼层 (共6层),112.43㎡,板楼,南,简装,一梯两户,2018-11-17,2015-08-06,满两年,430万元,张江
国信世纪海景,浦东,3室2厅1厨2卫,高楼层 (共35层),235.72㎡,板楼,南,精装,三梯两户,2018-11-01,2017-08-15,满两年,2200万元,塘桥
仁恒河滨城(一期),浦东,3室2厅1厨2卫,高楼层 (共25层),171.48㎡,板楼,南,精装,两梯两户,2018-07-02,2016-08-26,满两年,1650万元,联洋
嘉丽苑(徐汇),徐汇,2室2厅1厨2卫,高楼层 (共31层),120.89㎡,板楼,南,精装,两梯四户,2018-05-15,1996-05-13,满五年,1440万元,衡山路
新时代富嘉花园,闵行,4室2厅1厨3卫,高楼层 (共17层),165.02㎡,板楼,南,精装,两梯三户,2018-03-21,2007-11-14,满五年,1180万元,古美
远中风华园(公寓),静安,2室2厅1厨2卫,高楼层 (共25层),129.36㎡,塔楼,南,精装,三梯六户,2017-08-22,2017-04-13,满两年,1430万元,南京西路
桃源二村,浦东,2室1厅1厨1卫,中楼层 (共6层),69㎡,板楼,南,简装,一梯两户,2019-11-04,暂无数据,暂无数据,150万元,惠南
荡湾新村,浦东,2室1厅1厨1卫,中楼层 (共5层),53.26㎡,板楼,南,精装,一梯三户,2019-10-12,暂无数据,暂无数据,130万元,惠南
华高一村,浦东,2室1厅1厨1卫,高楼层 (共7层),74.12㎡,板楼,南,精装,一梯三户,2019-09-19,暂无数据,暂无数据,285万元,高行
顺德苑,静安,2室2厅1厨1卫,低楼层 (共24层),105.5㎡,板楼,南,精装,两梯四户,2019-09-18,暂无数据,暂无数据,915万元,南京西路
新德五村,浦东,2室1厅1厨1卫,高楼层 (共6层),68.99㎡,板楼,南,精装,一梯四户,2019-09-07,暂无数据,暂无数据,225万元,川沙
金钻苑南区,浦东,3室2厅2厨1卫,低楼层 (共11层),127.73㎡,板楼,南 北,精装,一梯两户,2019-08-15,2011-05-13,满五年,478万元,曹路
呼玛三村,宝山,2室1厅1厨1卫,低楼层 (共6层),57.72㎡,板楼,南 北,简装,一梯两户,2019-12-27,2014-04-02,满五年,265万元,张庙
城西小区,浦东,1室1厅1厨1卫,中楼层 (共6层),38.97㎡,板楼,南,简装,一梯三户,2019-09-08,2001-06-06,满五年,146万元,川沙
艾格美国际公寓,静安,1室2厅1厨1卫,中楼层 (共32层),67.66㎡,板楼,南,精装,两梯四户,2019-08-18,2015-03-31,满两年,698万元,南京西路
妙栏小区,浦东,2室1厅1厨1卫,高楼层 (共5层),58.23㎡,板楼,南,简装,一梯两户,2019-12-23,2003-09-23,未满两年,245万元,川沙
金色碧云,浦东,3室2厅1厨2卫,低楼层 (共6层),122.54㎡,板楼,南,精装,一梯两户,2019-07-26,2008-03-22,未满两年,1050万元,碧云
秋月枫舍,普陀,2室2厅1厨1卫,中楼层 (共32层),97.91㎡,板楼,西南,精装,两梯四户,2018-04-12,2004-06-28,满五年,715万元,光新
江临天下,浦东,4室2厅1厨2卫,低楼层 (共35层),165.73㎡,板楼,南 西南,精装,六梯六户,2018-05-18,2005-04-18,满五年,1420万元,陆家嘴
华沁家园,徐汇,3室2厅1厨1卫,高楼层 (共32层),123.3㎡,板楼,南,毛坯,两梯四户,2019-12-27,2012-12-01,满五年,743万元,植物园
月浦二村,宝山,1室1厅1厨1卫,高楼层 (共6层),36.07㎡,板楼,南,毛坯,一梯四户,2019-06-30,暂无数据,暂无数据,110万元,月浦
星颂家园,浦东,1室1厅1厨1卫,中楼层 (共24层),54.3㎡,板楼,南,简装,两梯四户,2017-11-01,暂无数据,暂无数据,217万元,曹路
万馨佳园,浦东,2室2厅1厨1卫,中楼层 (共6层),74.16㎡,板楼,南,精装,一梯两户,2019-12-12,2010-11-05,满五年,330万元,川沙
心圆西苑,浦东,1室1厅1厨1卫,中楼层 (共15层),59.35㎡,板楼,南,简装,两梯四户,2020-01-04,暂无数据,暂无数据,270万元,川沙
民乐城惠园,浦东,2室2厅1厨1卫,中楼层 (共5层),85㎡,板楼,南 北,简装,一梯两户,2020-01-03,暂无数据,暂无数据,225万元,惠南
莎海惠晨苑,浦东,2室2厅1厨1卫,低楼层 (共6层),98.86㎡,板楼,南,精装,一梯两户,2019-12-29,暂无数据,暂无数据,248万元,惠南
